Date,Label,combined_headlines
2000-09-14,0,the cult of reagan uefa cup leicester    red star belgrade a lifelong problem for you darling exchange bosses rebuked pop review action spectacular employers to find another am a year for pensions logging on and dropping off dance review the car man virtual internet triples turnover nickels and dimes business retailers hail spendng spree theatre review crossing euro on ropes as rescue attempt ruled out frank keating on chelsea ans vialli zola ruled out as chelsea take time chelsea four in the frame football carling to help fans to get to games first division sheff wed    nottm forest uefa cup rapid bucharest v liverpool uefa cup leicester v red star belgrade champions league man utd    anderlecht rapid bucharest    liverpool first round draw geoffrey a moore charles kennedy  leftleaning realist
2000-09-18,0,the amazingly ordinary melanie c fila brazillia chris minh doky scandal at the royal exchange listening banks new code dresdner bn us deal creates millionaires row edinburghs wide open spaces rembrandts more successful pupil you bet your life the experts view kennedy tries to stay firmly in the middle social role claimed by private schools why gordon brown can never be prime minister drug dealers behind loyalist bomb attack media advertising on the bbc despairing dissing and dwindling ms in new shakeup falklands girls are easy class and style youth and experience  plus a few quibbles mackenzie shrugs off wireless losses wheels alfa romeo sportwagon diesel protest in prague opinions on globalisation are shifting oxfam calls for better debt management yates postmortem test inconclusive governments response to oil crisis qc calls camelots omission grossly unfair
2000-09-19,0,reviews james turrell skyspace reviews manon lescaut merope mills  on mi recruiting teachers yahoo and amazon part reviews  jimi tenor net bank targets the new rich reviews  vegastones theatre  alcestis tricks of the trade banks urged to bail out euro captain alleyne takes the a train cricket mike selvey reviews the season uefa turns down red star appeal michael owens top tip pick me for every england game scottish premier league dunfermline    celtic dynamo kiev    manchester united on message book trade news turning universities into a training ground for industry has its drawback pop goes the weasel hijacked cuban plane ditches off key west some delegates show signs of excessive wear simon hoggarts sketch from the lib dem conference as easy as potter todays news from russia
2000-09-20,0,new zealand take charge theatre review opera review review  theatre pop review review  classical danes on track to plunge euro into abyss theatre review future for borrowing costs is on a knife edge review art review dance business interst rates wembley to bow out with a bang newcastle close in on am lualua worthington cup preston    coventry worthington cup brentford    tottenham hotspur preview arsenal v shakhtar donetsk preview monaco v rangers champions league dvnamo kiev    manchester united heads accuse blunkett of failing to deliver on school cash control emiwarner merger will it crash to earth dear president wolfensohn extra training  extra air miles and extragoal hacker defaces hsbc websites brown soaks up the pressure
2000-09-21,0,tailgunner funhouse covent gardens opera for the hardofhearing ramberts world premiere poor start at the young vic warming to incubators us watchdog hunts down day trader  leak points to us approval for time warneraol deal champions league arsenal    shakhtar donetsk champions league monaco    rangers darling hails milestone in reduction of child poverty viennese waltz for foxes after uefa rejects red star appeal claudio ranieri knocks chelsea into shape rovers lose interest in berkovic sara blows up a storm worthington cup man city    gillingham futures bright for elisabeth murdoch bright station in legal row over boo rabble soothers surprise ovation mi itn resurrects news at ten cnncom europe launches today kennedy offers a haven for the discontented tinker tailor cossetted spy no increase no green light and no signing
2000-09-22,1,ranieri ready to crack the whip oleary anger as viduka is missing ince on abuse charge after injury incident at derby when the managers job became unmanageable advocaat struggles to get rangers back to domestic duties flowers blank expression regarding henry big brother style judges choose lesser of two evils balancing scales of life and death following the herd no cash for scottish life members rogue direct debits that mean torment review the mikado savoy theatre london is your life firm secure facing up to harsh realities  when death hits your family finding the warmest place for your nest egg code looks to a fairer deal review the cherry orchard cottesloe theatre london review the ballroom of romance playhouse newcastle the pocket generals  plan for war safety in numbers will foil criminals are they really a gem of a deal were selling off the family silver how to protect your credit  cards from the fraudsters zimbabwe v new zealand second test
2000-09-25,1,caniggia set for shock move to dundee exchange battle begins world music review argentinas deadly music theatre review noebl coward versus paul daniels pop review  william bell germans want to buy more british utilities art review keith coventry art review can a charcoal drawing change the world pop review toolshed pop review kings of convenience neil rhodes and jonathan sawdays top  internet and technology books the best spiritual scene bould calls it a day third division  roundup second division  roundup first division roundup wolves propelled upwards by youthful energy pass masters fulham look good for a place in history celtic extend run as dundee falter burchill may be blues missing link allardyce looks to be a lifelong wanderer owen keeps his head in front after phillips bullet gascoigne shows his old class charlton flying after coach is axed barren spurs defy grahams theory
2000-09-26,0,burton leaves a stain on the net spike jonze joins atom films pity the poor beleaguered bankers richard reeves the way we work jazz review cinematic orchestra net leaves uk plc trailing is your office making you ill jaz review  cleveland watkiss theatre review  shoot me in the heart music review  snow patrol theatre review mendes wages war at the donmar world music review  quinteto piazzolla pop review trisha yearwood millwall turn to penitent mcghee liverpool in hunt to sign croatian biscan ehiogu rejects am boro move champions league preview psv eindhoven v man utd the dealmakers  and how they will be rewarded kiwis gear up for odi series redistribution of wealth will save lives psv eindhoven    manchester united five alive and well milosevic loses vote the game in spain weggprosser joins guardian unlimited
2000-09-27,0,roundup rapid chance for fowler to deliver uefa cup preview hjk helsinki v celtic uefa cup peview st gallen v chelsea uefa cup preview red star belgrade v leicester worthington cup bignot leads rovers return savings rate drops in buoyant britain bbcso mackerras the frustration of figaro alistair beatons top  new labour bollocks murray perahias golden oldies york gets ready to rumble the country wife calexico scottish bank bemoans its lack of partners elton and lloyd webbers game of two halves digital tv seen as lifeline for poor castles pensions victory game over for collymore worthington cup tottenham    brentford agg   champions league preview arsenal v lazio champions league preview galatasaray v rangers champions league psv eindhoven    manchester united mind the childcare gap merging social services with other local government departments
2000-09-28,0,third round review philharmoniasanderling review pere ubo review rumble fish review rex levitates day trading firm shut down close pledges to stay independent danish euro vote business analysis online bank goes live  but by phone only review ariadone review revelations schmeichel shows spartak the way back champions league galatasaray    rangers champions league arsenal    lazio euro opponents celebrate early results in danish euro referendum ferry disaster what the greek papers say patients to be offered operation booking system in some hospitals one in  web dates ends in bed combative prescott cheers party faithful john prescotts speech to labour party conference labour conference gives rapturous welcome to mandela nelson mandelas speech to labour party conference festival of punishment  part  festival of punishment  part 
2000-09-29,1,fergie fearful of overheating at highbury ranieri pinpoints lack of spirit in chelseas material world maradona fuzzy over the hand brown makes matteo the latest to claim his scottish birthright johansson moves up in outside lane seaman still top of the range neverending story of stan the manchild escape to a black and white world uniteds glasnost spins out of control william says author betrayed diana lets get this clear review a users guide to webfilm review review review why not find a new home for your loan reviews review review batistuta inspires roma england squad young cole comes in on keegans new wave ron atkinson kevin too quick to throw teddy out of crib beckham on the carpet roundup
2000-10-02,0,review  tan dun festival review  pascal rogeacute fsa verdict on mortgages incomplete review  the kingsbury manx review armatrading on tour review sinaisky business house prices make a comeback knives out for lippi as inter lose again match report chelsea    liverpool match report leeds    tottenham match report everton    ipswich match report southampton    middlesbrough match report west ham    bradford match report charlton    coventry match report man city    newcastle doin me bit to prove were still on top first division  roundup second division  roundup third division  roundup match report gillingham    sheff wed match report watford    birmingham match report sunderland    leicester match report wba    blackburn match report aberdeen    celtic match report bolton    fulham
2000-10-03,1,more about england v germany ranieri sets sights on ageing jonk romeo and juliet review on the town an employment tribunal lawyer writes making the worst of a good job tricks of the trade surge in house prices fuels interest rate fears dodgy logic on endowments review delgados review  the blue room online banks fight for their share review orphee et eurydice review lewis taylor andrew motions top  poetry books endowments escape fsa united shy away from bigmoney signings continental football coaches living on borrowed time fa chief executive outlines plans for future england success dyers knee a worry ahead of germany clash collymores misery goes on with fa charge the life and times of stan news roundup the race is on to find a generic flu vaccine breakfast under the stars
2000-10-04,1,england wary of ridicule factor frank keating on wembleys last hurrah review romeo and juliet reviewangie stone uk cashed in on euro intervention steady as she goes conflicting figures point to no change in interest rates impromptu game of footsie standoffish sona fariq review gerald finley shivaree the crucible review he stumbled inter sack lippi after opening defeat icc knockout trophy  kenya v india giles injury blow for england mps urged to review funding of good causes the sacked ratcatcher who took on his old bosses leader trimble is vital trimble urged to give ultimatum conservatives in bournemouth hard line against soft drug users the last mini go forth and multiply arafat and barak enter direct talks
2000-10-05,1,morality is a spending force puccini minus the passion j m barries drama of selfrevelation performing bodies mark turner workers would quit for a euro weakened by rate rises pomp and raw sensation from pappano totally wired at this price   corporation gunner vieira happy to hold fire owngoals strike disunited germany belgrade burns as serbs revolt against milosevic kevin keegans wembley memories one in three nurses have to moonlight go now blair tells milosevic international reaction culture clash at heart of the party heseltine likens tory leaderships euro stance to labour left of s hagues aim to be peoples champion doesnt add up renewed violence as barak and arafat talk robin cooks statement bbc chief denies dumbing down with new schedule crunch time for slobodan milosevic analysis hagues conference address was a letdown
2000-10-06,0,american fact british fiction raiders of the lost faith henry sutton on flying and high anxiety roundup new nonfiction the questionnaire tony parsons trapped in a painful past review hey yeah right get a life by helen simpson edited extract on picassos muse dora maar saturday poem burning your brothers guitar by andrew waterhouse wish you were there top  poetry books pick of the week gemma bovery by posy simmonds review the book of kings by james thackara audio review  destiny or chance by stuart ross taylor roundup fiction roundup nonfiction review  on writing a memoir by stephen king first novels review  the faber book of landscape poetry need to know we have given mugabe a warning it is clear listen to the people milosevic admits defeat annan wants un to try teenagers for war crimes escape options run out for milosevic an idea without wings
2000-10-09,0,brown gains one and loses four for croatia game brazil romp home against venezuela german football daum moves to protect his name analysis merger mania link tipped to run universal bank business panic buyers boost sales art review shirazeh houshiary jazz review fred hersch four in perspective clicks and mortar offers the best bargains pop review zan lyons classical review brundibar theatre review bedbound classical review lsopappano seethru so transparent anwars majestic century sends sri lanka packing oxford sink into depression own goal leaves hill a mountain to climb lack of belief costs wednesday county scrape draw but look doomed adebola makes it a happy return king kevin abdicates again wilkinson sends for teddy as england regroup wales stall on uphill journey healys appetite sustains irish fa rewrites rulebook to find the right man
2000-10-10,0,new coach due by christmas wenger given touchline ban working lives the way we work art review picasso has second thoughts art review sonictraps working lives unprofessional odours pop review julian cope theatre review the red shoes theatre review daryl hannahs sevenyear tease aplus hint on pensions working lives office romance it specialists celebrate as court orders tax review halifax at war with big four pop review will the real robbie williams please stand up pop review shea segers strange brew hussain sees klusener as benchmark twose sends kiwis into the last four nurseries planned in deprived areas women web lines comment if you really want to help the homeless dont get out your purse just get involved supermarkets escape ripoff charge hague shelves new drug policy business schools extend agenda ba hons eu police reform central to ulster peace talks
2000-10-11,0,mcilroys men catch cold from gudjonsson obituary brian walsh workplace blues leave employers in the red classical review rattle dance review merce cunningham genetic tests to be used in setting premiums opera review la boheme pop review britney spears theatre review the circle wales face a fraught night under  roundup smith off to blot his copybook finns taking the mickey praise wasted as brown studies injury options ireland wary of minnows finland    england healy a marked man happy birthday harpers  queen win unlimited access to the raindance film festival labour pledges am to bridge northsouth divide wales liblab pact firm despite resignation donald dewar regenerating homes  regenerates wellbeing in people win a worth of underwear tv guide random views
2000-10-12,0,warning from history points to crash investors flee to dollar haven banks and tobacco in favour review llama farmers war jitters lead to selloff your notsosecret history review the northern sinfonia review hysteria review the guardsman opera the marriage of figaro review the turk in italy deutsche spells out its plans for diversification traders panic sends oil prices skyward tv sport chief leaves home over romance leader hitech twitch why wenger will stick to his gunners out of luck england hit rock bottom wilkinson out of his depth kinsella sparks irish power play brown banished as scots rebound battling wales cling to lifeline ehiogu close to sealing boro move mantoman marking match stats french referee at centre of storm is no stranger to controversy
2000-10-13,0,comment why israels peaceniks feel betrayed court deals blow to seizure of drug assets an ideal target for spooks world steps between two sides intent on war what the regions papers say comment fear and rage in palestine poverty and resentment fuels palestinian fury republican feud fear as dissident is killed the flood lowlying homes may become uninsurable synagogues and schools firebombed flood alerts remain as cleanup bill nears abn bitter divisions that halted talks within sight of a lasting peace no headline i have just killed your husband wife was told torrid time assured ftse goes upwardly mobile at this price  bp amoco go fish bosnian serb blows himself up to evade law orange float delayed to  angry factory workers root out fear favours and fat cats smith defied advice on dome payout xerox takes the axe to jobs comment refugees in britain maverick who sparked the new intifada
2000-10-16,1,aagoal weah aims parting shot newcastle pay for fletcher years brown sent to the stands for scotland qualifier tourists wary of breaking new ground canary wharf climbs into the ftse  review bill bailey review classical review new contemporaries  empty gestures from halifax review guilty pleasures review waterboys business egg expands review uri caine the game that changed the face of cricket i hadnt a clue what was going on out there more cash on way for counties cairns carries kiwis to victory year of blanchflowers flourish when spurs stood for style new direct approach brings only payperblues third division  roundup second division  roundup first division  roundup mclean ends his career with a punch heskey grabs triple crown weah on his way as city march on
2000-10-17,1,leeds arrive in turkey to the silence of the fans one womans vision offers loan lifeline working lives how world leaders worked working lives tricks of the trade working lives sixhour days long lunches and evenings pop review we love uk world music review marisa monte art review  hollingsworthheyer classical review prokina skigin theatre review hades theatre review the dispute the critic theatre review twelfth night consumers start to get a conscience richard vinens top  history books bills up for office surfers duisenberg in double trouble pru to cut pension charges art review paul graham shearer shot sparks boro humiliation ridsdales lingering fears as leeds revisit turkey champions league rangers v galatasaray champions league lazio v arsenal lazio    arsenal england in pakistan england given olivebranch reception
2000-10-18,0,fulham    crystal palace wimbledon    blackburn rovers champions league man utd    psv eindhoven hes a scorer and he wanted his first goal roundup markets escape meltdown ifas seek judicial review over windfall ruling jhkjh ygkyhgkjhgv theatre napoleon review regular fries review pop review eileen rose review wilt review philharmonia orchestraschiff falling unemployment threatens to end mpc unanimity review the diary of anne frank review you are here review among unbroken hearts champions league manchester united v psv french le championat leading scorers primera liga leading scorers how  longrunning campaigns against government policy keep going charity award  sunnnyside community gardens association profile of   sandy brucelockhart at the helm of kent council democracy day  elected mayor campaigns gather pace
2000-10-19,0,fa seek manager who has integrity art review classical review pop jazz review theatre review dance review classical review theatre review grimandis beauty is in the eye of the beholder lazio player called me monkey says vieira seven in noplay threat to miandad icc pose five fixing questions cash boost for hardup real madrid social services brace for squeeze buzz lightyear for gmtv train derailed outside stafford old universities warm to vocational degrees the afterlife survey sheds light on oxbridge access banks follow branson lead blunkett backs actors scholarship funding carlton interactive appoints design agency attik press review what the middle east papers are saying suns shine bolsters nasdaq
2000-10-20,1,plodders in legends turfed out weah not the champions  maybe that was the problem there is no future for a league of alsorans id swap scouting up north for delias dipdipdip boro break bank for am ehiogu scowling stoichkov ignites the fire smith unfazed by tangerine nightmare wild child takes walk on the mild side grimandi given threematch ban robson sidesteps england question winterburn happy to hammer old pals scorecard englands batsmen warm to their task a day in the life of linda mullholland pension planning slow growth likely to peg interest rate the wisdom of salomon its jo and danny somersaulting dialogue at the royal court exposure part two a moonlit pogo with eastbournes finest experts predict that floods will increase government issue warning on pensions bad deals on wheels no stakeholder fees says barclays handling debt
2000-10-23,1,hussain wary of stage fright theatre review the three birds classical review bbcso  slatkin comedy review harry hill cheaper loans could follow halifaxs remortgage lead classical review ixion ensemble world music review lama gyurme rykiel dance review  scottish dance theatre pop review coldplay business housing market starts to stabilise for one game only england unveil their dream team the rise and rise of uniteds no england upbeat as giles turns the corner third division  roundup second division  roundup first division  roundup wenger switches to cruise control taylor ready for instant return spurs see off dismal derby but mediocrity remains a fond memory saints and sylla show style to rout rangers robsons am gamble falls flat harkness stops the wednesday rot hammam and cork turn back the crazy clock gregorys gall as villa lose ground in race for europe fulham falter at the round dozen
2000-10-24,1,wenger shortens croziers short list radzinski double floors united mooney penalty puts watford top fulham floored by appleton fluke tamudo just says no to rangers hughes leaves everton to become a rover rangers in state of disrepair scorecard england comeback fuelled by flintoff sulky survivor who took the long view working lives britains mps in their plush new offices working lives the way we work richard reeves review  lponagano pop review paul simon theatre review keepers jazz review sun ra arkestra abbey upbeat on financial services breakthrough halifax admits letter gaffe art review alison wilding post office offers sweeter deal for universal bank players bb payouts estimated at a classical review  avanti  oramo flintoff finally plays big innings on big stage rcn deplores senior nurse downgrading media briefing october 
2000-10-25,1,blank czechs leave liverpool in the dark mihajlovic apologises for racial abuse straws orwell curbs on sex videos sturm damage for divided rangers cruising arsenal secure top spot rovers profit immediately from hughes investment marcelo blows citys weekend blues away todd set to fill smiths boots at derby dti starts best buy drive help me to change my shift fsa warns firms on leaks to investors and media dance sasha pepelyaev theatre rita suea state affair theatre ramayana review  intimate male review rachel whitereads holocaust memorial jazz danilo perez opera magic flute pop phoenix hiv father wins human rights asylum case profile   maggie smith of barnardos amnesty hires borkowski for anniversary bash government drive to attract more ethnic minorities to nursing inquiry into israels use of uk arms settlers return feeds fire of arab rage
2000-10-26,0,pop review classical review philharmonia schiff blues review popfilm review classical review theatre review art review pop review thumb your nose at financial fraud why hodgson is the wrong man for england redhot flintoff comes of age in heat of the night malcolm on the move flintoffs power play may earn test reprieve fletcher lays the ghost of bumble short at odds on job hiring the invisible man rules watchdog is caught out cash from palestinian group mars hillarys fight when governments dont level with the people the ira makes an offer the unionists can refuse stanley sven and sugar andersen consulting in am rebranding drive basil brush returns interview ivan massow
2000-10-27,1,preston crash back to earth how the understanding understudy has grown up graham holds on to dream from blue to red without tears zidane left redfaced with fivegame ban football at war over transfer changes english success in europe can be dangerous oldest club enjoys new lease of life actually im free on saturday afternoons mr crozier england looks to a reluctant svengali camara focuses on life away from liverpool england dismantled by afridi fans for wins sounds like a fair exchange after bse future safety issues dorrell says he regrets giving no risk advice australian giant to enter uk mortgage fray classical halleelder cgu cuts income for investors is the gold card standard high enough for travellers pop orbital banking its time to seek a better partner property slowdown will mean a steadier market subsidence dont let it all fall apart art manet les natures mortes finding your ideal home is easier online
2000-10-30,1,england go for eriksson stewart attack starts war of words jubilant jayasuriya rips sorry india to shreds wolves ghost eludes taylor oxford still waiting for godot hughes takes the strain grimsby gifted by misses fulham stick in the mud as owls learn to fly collymore makes his mark third division roundup second division roundup first division roundup cascarino claims he was ineligible for ireland west ham give thanks as luck turns taylor busy england dreaming strachan undone by the writing on a brazilian wall sheringhams best comes of age rotating henry keeps forward momentum ipswich are no laughing matter on the fringe spurs angst mounts with loss of london pride books unlimited launches reading group peter ainsworth profile adams fury as deal falters teacher hiring drive biggest yet xmas gifts for sports fans
2000-10-31,1, feared dead in taiwan plane crash county sponsor jumps ship tears for souvenirs as england flop scoreboard you dont get this at chelmsford colleges are failing nus on governing body appointments passenger plane crashes in taiwan studetn power in serbia warnes pura cup agony the way you see it part  the teaching awards  platonic ideals the lloyds tsb lifetime achievment award  teaching  winners of last years teaching awards what is a good teacher classroom assistant of the year the bt award for most creative use of ict   primary the teaching awards  how to nominate next years winners working with parents and the community  primary most outstanding new teacher primary the bt award for most creative use of ict   secondary working with parents and the community  secondary most outstanding new teacher secondary teaching awards  the judges the leadership trust award for school leadership  primary excellence in special needs teaching   primary
2000-11-01,1,chelsea deny big risk on am gronkjaer eriksson signs fiveyear deal england strangers in spin paradise england wait for full report after stewart named in indian matchfixing inquiry a scheme to provide a qualification and a home to young people ssi disappointed at lack of progress over independent living building a solid future controversial drug wins approval nhs inquiry into pay gender gap rim sold to three bidders trio of new managers appointed policeman loses leg after bomb blast middle east talks promised but killings continue forget the hot air on family values and think positive space station crew near new home draculas coming home  and other true stories bishops learn about racism rugby league club found guilty of racism blatant racism at brixton jail cantona set for return to marseille europhile humanitarian and martyr the oneday series blair defends labour tax strategy st ivel ad review parents a fatherdaughter reunion
2000-11-02,0,reviews games reviews villa undone by weaver of magic fowler finds finishing touch ekoku reveals a streak of steel celtic wear down resolute hearts caldwell spares toons blushes roundup macari is handed huddersfield job george armstrong wing wizard dies at  no end in sight to crickets millennium anguish solid hoggard upstages soso england spinners scoreboard babys death prompts call for midwife review every click you make woodhead resigns the dfee press release clinton condemns jerusalem car bomb downing st forces bbc retreat on health poll ofsted chief woodhead quits equality watchdog urges end to allnight commons sittings london live ratings dive expolys match old universities in teaching inspections despair in the classroom woodhead clashes with mps over alevel standards chris woodheads letter to david blunkett
2000-11-03,0,refugee doctors to help ease nhs staff crisis pension cut challenged in court comment nhs and the winter crisis boo rises from the ashes interview with  dominik moll creator of harry hes here to help oxbridge to get financial help to attract poorer students oversubscribed leeds v liverpool leader the day of the bedtime story is dying leader chris woodhead resignation schools master who preached the message from tony blair comment david blunkett defends labours record on schools unions cheer departure of morale destroyer well thank goodness hes gone woodhead resigns blunkett and woodhead take parting shots ondigital slams sky price rises weakest link to make bbc am in foreign sales endgame  kasparov loses to protege fuel protest website backed by bnp  winners minister plans inquiry into feltham murder sick institution in urgent need of cure id hear people being beaten up and know the guards wouldnt do anything about it school days  retirement and  wilderness years
2000-11-06,0,newcastle    ipswich everton    aston villa bradford grope in blind mans bluff pale dynamos who shone a brilliant light in postwar britain eriksson resumes a double life first division  roundup second division  roundup third division  roundup kilmarnock    celtic man city    leicester middlesbrough    arsenal tottenham    sunderland crystal palace    sheff wed christmas online shopping fulham    huddersfield barnsley    wimbledon coventry    man utd byfield skates through his reading test bennetts clanger leaves francis blue beatties belter makes fools of chelsea addison puts a dent in the diamonds in sickness and in wealth crewe and floud for university president online public debate on biotechnology research a less than happy epitaph for the clinton years
2000-11-07,1,derby    west ham england spin twins seeking tandem effect rangers    monaco boro hit out over illegal ziege move hutchings sacked after  games rimless wonders change from blockheads to eggheads champions league preview rangers v monaco champions league shakhtar donetsk v arsenal preview carr pay talks are make or break beginning of the end ang lee and james schamus iii ang lee guardian interview ii ang lee and james schamus police foil dome diamond raid how the police beat the dome diamond gang on the web unusual languages internet knowhow creative writing rtl in talks over bertelsmann digital tv tieup bill clinton im no lame duck republican website hacked as us voters go to polls chris woodheads resignation day oxbridge slips behind education french resources lenfance violee some of our top medical schools are decidedly below par wellcome to spend abn over next five years
2000-11-08,0,the making of the millennium star americas emptiest double act the dome diamond robbery attempt coup for the newlook sweeney todd tax crackdown ahead on internet betting in brief royal society backs use of embryos to fight disease mowlam trips on cannabis claims the lesson avoid the press trust in your pollsters rail chaos blamed on wrong trains dead man proves tricky opponent in tight senate race sketch doctors monitor jodies battle to survive in brief yesterday bets inquiry may question  mps four years jail for nurse who poisoned patient chemist chain puts cold cures away hackney mired in more cash chaos on message pensioners call at no  in westminster protest labour sinking claims hague letters bad press letters fishing for a solution to floods letters geller i can bend metal
2000-11-09,0,from cook to social worker how charities can benefit from payroll giving get tough on racism career profile health promotion officer nhs press officer test voluntary email society briefing test house improvements modernising local government finance is stress a sign of weakness case study health promotion manager charities fail to take advantage of new tax rules case study health promotion specialist charity careers get that first job how a us community foundation operates charities need business brains last drag for tobacco ads us community foundations the wider role of community foundations november  ratings charity of the month november  grassroots view using the human rights act in campaigns policing asylum seekers the cost of asylum european lobbying lessons for charities
2000-11-10,0,airlines land on a new marketplace west indian jeremy has his jaw broken tres jolly but cut short by folly scoreboard owen calms liverpool nerves olearys kitty boosted by am who ate all the prawns keane accuses united fans uniteds cole out until next year taylor starts the youth revolution england squads group h group g group f group e bt gets cautious thumbsup from regulator the debate between who will run the lottery continues private finance and public health bbc in running for derby rights unclear drugs guidance leaves social workers in difficult position nov  diary of a monitored social services department city cautious over proposed bertelsmannemi merger second group stage draw  live racist complaints against police highest ever council apologises to race victim bt forced to open up access to its networks
